algorithm,n_bins,state_space_size,seed,iters,training_time,avg_reward,avg_length,success_rate,convergence_episode
VI,3,621,0,1000.0,0.0029,9.31,9.31,0.0,
PI,3,621,0,50.0,0.0047,9.31,9.31,0.0,
VI,3,621,1,1000.0,0.0029,9.355,9.355,0.0,
PI,3,621,1,50.0,0.0045,9.43,9.43,0.0,
VI,3,621,2,1000.0,0.0029,9.24,9.24,0.0,
PI,3,621,2,50.0,0.0044,9.36,9.36,0.0,
SARSA,3,621,0,,172.9621,312.23,312.23,0.96,6071.0
SARSA,3,621,1,,210.5119,340.19,340.19,0.75,5695.0
SARSA,3,621,2,,194.0682,260.78,260.78,0.98,5996.0
Q-Learning,3,621,0,,148.7951,356.69,356.69,0.78,6282.0
Q-Learning,3,621,1,,135.9923,192.85,192.85,0.34,6511.0
Q-Learning,3,621,2,,155.8827,324.65,324.65,0.82,6884.0
VI,6,4968,0,1000.0,0.0213,9.42,9.42,0.0,
PI,6,4968,0,50.0,0.0362,9.35,9.35,0.0,
VI,6,4968,1,1000.0,0.0211,9.33,9.33,0.0,
PI,6,4968,1,50.0,0.0358,9.385,9.385,0.0,
VI,6,4968,2,1000.0,0.0207,9.425,9.425,0.0,
PI,6,4968,2,50.0,0.0358,9.305,9.305,0.0,
SARSA,6,4968,0,,243.4639,263.99,263.99,0.97,4358.0
SARSA,6,4968,1,,223.9383,186.19,186.19,0.3,4726.0
SARSA,6,4968,2,,233.5282,194.44,194.44,0.49,5293.0
Q-Learning,6,4968,0,,196.5184,455.86,455.86,1.0,6879.0
Q-Learning,6,4968,1,,220.0923,195.2,195.2,0.51,5652.0
Q-Learning,6,4968,2,,187.851,202.66,202.66,0.61,6856.0
